season,franchise_key,team_name,espn_team_id,regular_wins,regular_losses,regular_ties,regular_points_for,regular_points_against,playoff_wins,playoff_losses,final_place,is_champion,is_runner_up,source,source_note
2019,bubbs,Austin Bubbs,1,11,2,0,1531.24,1297.1,0,1,3,no,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2019,p-rivers-nas-nas,P RIVERS NAS NAS,6,7,6,0,1632.27,1440.18,1,1,4,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2019,run-and-hide,Run and Hide,2,7,6,0,1499.88,1477.85,0,1,5,no,no,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2019,penthouse-panda-bear,The Penthouse Panda Bear,5,5,8,0,1461.57,1576.29,0,1,6,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2019,raleigh-silly-nannies,Raleigh Silly Nannies,9,4,9,0,1318.1,1420.81,0,0,7,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2019,the-penguins,The Penguins,4,4,9,0,1414.91,1621.35,0,0,8,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2019,brightleaf-yuppies,Brightleaf Yuppies,8,5,8,0,1310.24,1374.01,0,0,9,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2019,your-worst-nightmares,Your Worst Nightmares,3,5,8,0,1352.71,1504.65,0,0,10,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2021,cte-deniers,CTE Deniers,10,9,5,0,1712.64,1495.05,2,0,1,yes,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2021,raleigh-silly-nannies,Raleigh Silly Nannies,9,8,6,0,1543.91,1527.83,2,1,2,no,yes,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2021,brightleaf-yuppies,Brightleaf Yuppies,8,8,6,0,1630.47,1532.9,1,1,3,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2021,penthouse-panda-bear,The Penthouse Panda Bear,5,10,4,0,1647.95,1517.81,0,1,4,no,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2021,run-and-hide,Run and Hide,2,8,6,0,1547.73,1530.16,0,1,5,no,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2021,bubbs,Austin Bubbs,1,7,7,0,1447.97,1540.89,0,1,6,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2021,taco-macarthur,Taco MacArthur,11,6,8,0,1535.46,1594.61,0,0,7,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2021,your-worst-nightmares,Your Worst Nightmares,3,5,9,0,1423.79,1582.23,0,0,8,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2021,p-rivers-nas-nas,P RIVERS NAS NAS,6,3,11,0,1408.16,1584.61,0,0,9,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2021,the-penguins,The Penguins,4,6,8,0,1388.98,1380.97,0,0,10,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2022,p-rivers-nas-nas,P RIVERS NAS NAS,6,10,4,0,1736.51,1613.4,2,0,1,yes,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2022,brightleaf-yuppies,Brightleaf Yuppies,8,9,5,0,1765.82,1626.05,1,1,2,no,yes,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2022,cte-deniers,CTE Deniers,10,8,6,0,1725.89,1492.27,1,1,3,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2022,raleigh-silly-nannies,Raleigh Silly Nannies,9,8,6,0,1582.69,1481.07,1,1,4,no,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2022,the-penguins,The Penguins,4,8,6,0,1517.98,1645.21,0,1,5,no,no,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2022,run-and-hide,Run and Hide,2,7,7,0,1706.39,1655.49,0,1,6,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2022,bubbs,Austin Bubbs,1,6,8,0,1474.45,1620.99,0,0,7,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2022,taco-macarthur,Taco MacArthur,11,6,8,0,1498.1,1562.67,0,0,8,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2022,your-worst-nightmares,Your Worst Nightmares,3,4,10,0,1490.74,1708.24,0,0,9,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2022,penthouse-panda-bear,The Penthouse Panda Bear,5,4,10,0,1578.32,1671.5,0,0,10,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2023,brightleaf-yuppies,Brightleaf Yuppies,8,12,2,0,1706.28,1404.2,2,0,1,yes,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2023,p-rivers-nas-nas,P RIVERS NAS NAS,6,8,6,0,1631.58,1449.45,2,1,2,no,yes,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2023,penthouse-panda-bear,The Penthouse Panda Bear,5,10,4,0,1865.4,1575.94,0,1,3,no,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2023,raleigh-silly-nannies,Raleigh Silly Nannies,9,8,6,0,1510.26,1585.82,1,1,4,no,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2023,run-and-hide,Run and Hide,2,7,7,0,1540.85,1651.15,0,1,5,no,no,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2023,the-penguins,The Penguins,4,6,8,0,1658.79,1674.44,0,1,6,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2023,bubbs,Austin Bubbs,1,6,8,0,1593.85,1545.82,0,0,7,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2023,taco-macarthur,Taco MacArthur,11,5,9,0,1427.93,1525.16,0,0,8,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2023,cte-deniers,CTE Deniers,10,6,8,0,1576.16,1579.76,0,0,9,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2023,your-worst-nightmares,Your Worst Nightmares,3,2,12,0,1311.27,1830.63,0,0,10,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2024,p-rivers-nas-nas,P RIVERS NAS NAS,6,9,5,0,1664,1602.58,2,0,1,yes,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2024,taco-macarthur,Taco MacArthur,11,7,7,0,1677.85,1555.39,2,1,2,no,yes,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2024,bubbs,Austin Bubbs,1,11,3,0,1754.92,1434.72,0,1,3,no,no,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2024,your-worst-nightmares,Your Worst Nightmares,3,7,7,0,1623.26,1577.59,1,1,4,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2024,run-and-hide,Run and Hide,2,9,5,0,1601.52,1568.04,0,1,5,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2024,cte-deniers,CTE Deniers,10,8,6,0,1576.03,1571.65,0,1,6,no,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2024,penthouse-panda-bear,The Penthouse Panda Bear,5,5,9,0,1608.72,1707.42,0,0,7,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2024,the-penguins,The Penguins,4,5,9,0,1376.01,1555.73,0,0,8,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2024,brightleaf-yuppies,Brightleaf Yuppies,8,5,9,0,1427.29,1562.67,0,0,9,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
2024,raleigh-silly-nannies,Raleigh Silly Nannies,9,4,10,0,1542.28,1716.09,0,0,10,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2025,brightleaf-yuppies,Brightleaf Yuppies,8,8,6,0,1734.12,1592.43,2,0,1,yes,no,espn,"ESPN league archive; 2 seed, record and bracket as ESPN reported them"
2025,the-penguins,The Penguins,4,8,6,0,1755.32,1658.37,1,1,2,no,yes,espn,"ESPN league archive; 1 seed, record and bracket as ESPN reported them"
2025,run-and-hide,Run and Hide,2,8,6,0,1593.64,1572.21,1,1,3,no,no,espn,"ESPN league archive; 5 seed, record and bracket as ESPN reported them"
2025,raleigh-silly-nannies,Raleigh Silly Nannies,9,8,6,0,1573.72,1466.37,1,1,4,no,no,espn,"ESPN league archive; 6 seed, record and bracket as ESPN reported them"
2025,penthouse-panda-bear,The Penthouse Panda Bear,5,8,6,0,1619.51,1621.62,0,1,5,no,no,espn,"ESPN league archive; 4 seed, record and bracket as ESPN reported them"
2025,bubbs,Austin Bubbs,1,8,6,0,1641.1,1586.53,0,1,6,no,no,espn,"ESPN league archive; 3 seed, record and bracket as ESPN reported them"
2025,cte-deniers,CTE Deniers,10,4,10,0,1399.45,1644.16,0,0,7,no,no,espn,"ESPN league archive; 9 seed, record and bracket as ESPN reported them"
2025,p-rivers-nas-nas,P RIVERS NAS NAS,6,8,6,0,1493.7,1414.95,0,0,8,no,no,espn,"ESPN league archive; 7 seed, record and bracket as ESPN reported them"
2025,taco-macarthur,Taco MacArthur,11,3,11,0,1438.14,1630.92,0,0,9,no,no,espn,"ESPN league archive; 10 seed, record and bracket as ESPN reported them"
2025,your-worst-nightmares,Your Worst Nightmares,3,7,7,0,1480.11,1541.25,0,0,10,no,no,espn,"ESPN league archive; 8 seed, record and bracket as ESPN reported them"
